Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,11191358.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,11191358.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,11191358.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,11191358.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,11191358.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.852941,1.0,0.7010310000000001,0.920635,0,0,41689983,11191358.000000,0.000000,34,.,.,21.000000,10.000000,,2.1,29,.,.,17.000000,10.000000,,1.7,5,.,.,4.000000,0.000000,,,97,.,.,71.000000,26.000000,,2.730769230769231,29,.,.,19.000000,10.000000,,1.9,0,.,.,0.000000,0.000000,,,68,.,.,52.000000,16.000000,,3.25
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.852941,1.0,0.7010310000000001,0.920635,0,0,41689983,11191358.000000,0.000000,34,.,.,21.000000,10.000000,,2.1,29,.,.,17.000000,10.000000,,1.7,5,.,.,4.000000,0.000000,,,97,.,.,71.000000,26.000000,,2.730769230769231,29,.,.,19.000000,10.000000,,1.9,0,.,.,0.000000,0.000000,,,68,.,.,52.000000,16.000000,,3.25
INDEL,D16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,D16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2,.,.,2.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,ALL,*,QUAL,*,0.852941,1.0,0.0,0.920635,0,0,11191358.000000,11191358.000000,0.000000,34,.,.,21.000000,10.000000,,2.1,29,.,.,17.000000,10.000000,,1.7,5,.,.,4.000000,0.000000,,,29,.,.,19.000000,10.000000,,1.9,29,.,.,19.000000,10.000000,,1.9,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,TS_contained,PASS,*,QUAL,*,0.852941,1.0,0.0,0.920635,0,0,11191358.000000,11191358.000000,0.000000,34,.,.,21.000000,10.000000,,2.1,29,.,.,17.000000,10.000000,,1.7,5,.,.,4.000000,0.000000,,,29,.,.,19.000000,10.000000,,1.9,29,.,.,19.000000,10.000000,,1.9,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D1_5,*,ALL,*,QUAL,*,0.9051379999999999,0.890244,0.290043,0.8976290000000001,17,35,41689983,11191358.000000,0.000000,1265,.,.,738.000000,433.000000,,1.7043879907621247,1145,.,.,653.000000,427.000000,,1.5292740046838407,120,.,.,85.000000,6.000000,,14.166666666666666,1848,.,.,1194.000000,654.000000,,1.8256880733944953,1168,.,.,741.000000,427.000000,,1.7353629976580796,144,.,.,119.000000,25.000000,,4.76,536,.,.,334.000000,202.000000,,1.6534653465346534
INDEL,D1_5,*,PASS,*,QUAL,*,0.9051379999999999,0.890244,0.290043,0.8976290000000001,17,35,41689983,11191358.000000,0.000000,1265,.,.,738.000000,433.000000,,1.7043879907621247,1145,.,.,653.000000,427.000000,,1.5292740046838407,120,.,.,85.000000,6.000000,,14.166666666666666,1848,.,.,1194.000000,654.000000,,1.8256880733944953,1168,.,.,741.000000,427.000000,,1.7353629976580796,144,.,.,119.000000,25.000000,,4.76,536,.,.,334.000000,202.000000,,1.6534653465346534
INDEL,D1_5,TS_boundary,ALL,*,QUAL,*,1.0,1.0,0.8636360000000001,1.0,0,0,41689983.000000,11191358.000000,0.000000,3,.,.,2.000000,1.000000,,2.0,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,,22,.,.,14.000000,8.000000,,1.75,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,,19,.,.,12.000000,7.000000,,1.7142857142857142
INDEL,D1_5,TS_boundary,PASS,*,QUAL,*,1.0,1.0,0.8636360000000001,1.0,0,0,41689983.000000,11191358.000000,0.000000,3,.,.,2.000000,1.000000,,2.0,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,,22,.,.,14.000000,8.000000,,1.75,3,.,.,2.000000,1.000000,,2.0,0,.,.,0.000000,0.000000,,,19,.,.,12.000000,7.000000,,1.7142857142857142
INDEL,D1_5,TS_contained,ALL,*,QUAL,*,0.904913,0.889992,0.0,0.8973909999999999,17,35,11191358.000000,11191358.000000,0.000000,1262,.,.,736.000000,432.000000,,1.7037037037037037,1142,.,.,651.000000,426.000000,,1.528169014084507,120,.,.,85.000000,6.000000,,14.166666666666666,1309,.,.,858.000000,451.000000,,1.9024390243902438,1165,.,.,739.000000,426.000000,,1.7347417840375587,144,.,.,119.000000,25.000000,,4.76,0,.,.,0.000000,0.000000,,
INDEL,D1_5,TS_contained,PASS,*,QUAL,*,0.904913,0.889992,0.0,0.8973909999999999,17,35,11191358.000000,11191358.000000,0.000000,1262,.,.,736.000000,432.000000,,1.7037037037037037,1142,.,.,651.000000,426.000000,,1.528169014084507,120,.,.,85.000000,6.000000,,14.166666666666666,1309,.,.,858.000000,451.000000,,1.9024390243902438,1165,.,.,739.000000,426.000000,,1.7347417840375587,144,.,.,119.000000,25.000000,,4.76,0,.,.,0.000000,0.000000,,
INDEL,D6_15,*,ALL,*,QUAL,*,0.910959,0.971831,0.5086510000000001,0.9404110000000001,1,3,41689983,11191358.000000,0.000000,146,.,.,71.000000,35.000000,,2.0285714285714285,133,.,.,68.000000,33.000000,,2.0606060606060606,13,.,.,3.000000,2.000000,,1.5,289,.,.,223.000000,66.000000,,3.378787878787879,138,.,.,105.000000,33.000000,,3.1818181818181817,4,.,.,3.000000,1.000000,,3.0,147,.,.,115.000000,32.000000,,3.59375
INDEL,D6_15,*,PASS,*,QUAL,*,0.910959,0.971831,0.5086510000000001,0.9404110000000001,1,3,41689983,11191358.000000,0.000000,146,.,.,71.000000,35.000000,,2.0285714285714285,133,.,.,68.000000,33.000000,,2.0606060606060606,13,.,.,3.000000,2.000000,,1.5,289,.,.,223.000000,66.000000,,3.378787878787879,138,.,.,105.000000,33.000000,,3.1818181818181817,4,.,.,3.000000,1.000000,,3.0,147,.,.,115.000000,32.000000,,3.59375
INDEL,D6_15,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,5.000000,1.000000,,5.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,5.000000,1.000000,,5.0
INDEL,D6_15,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,5.000000,1.000000,,5.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6,.,.,5.000000,1.000000,,5.0
INDEL,D6_15,TS_contained,ALL,*,QUAL,*,0.910959,0.971831,0.0,0.9404110000000001,1,3,11191358.000000,11191358.000000,0.000000,146,.,.,71.000000,35.000000,,2.0285714285714285,133,.,.,68.000000,33.000000,,2.0606060606060606,13,.,.,3.000000,2.000000,,1.5,142,.,.,108.000000,34.000000,,3.176470588235294,138,.,.,105.000000,33.000000,,3.1818181818181817,4,.,.,3.000000,1.000000,,3.0,0,.,.,0.000000,0.000000,,
INDEL,D6_15,TS_contained,PASS,*,QUAL,*,0.910959,0.971831,0.0,0.9404110000000001,1,3,11191358.000000,11191358.000000,0.000000,146,.,.,71.000000,35.000000,,2.0285714285714285,133,.,.,68.000000,33.000000,,2.0606060606060606,13,.,.,3.000000,2.000000,,1.5,142,.,.,108.000000,34.000000,,3.176470588235294,138,.,.,105.000000,33.000000,,3.1818181818181817,4,.,.,3.000000,1.000000,,3.0,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,*,ALL,*,QUAL,*,0.642857,0.9,0.666667,0.75,0,2,41689983,11191358.000000,0.000000,28,.,.,16.000000,7.000000,,2.2857142857142856,18,.,.,9.000000,7.000000,,1.2857142857142858,10,.,.,7.000000,0.000000,,,60,.,.,34.000000,20.000000,,1.7,18,.,.,9.000000,7.000000,,1.2857142857142858,2,.,.,2.000000,0.000000,,,40,.,.,23.000000,13.000000,,1.7692307692307692
INDEL,I16_PLUS,*,PASS,*,QUAL,*,0.642857,0.9,0.666667,0.75,0,2,41689983,11191358.000000,0.000000,28,.,.,16.000000,7.000000,,2.2857142857142856,18,.,.,9.000000,7.000000,,1.2857142857142858,10,.,.,7.000000,0.000000,,,60,.,.,34.000000,20.000000,,1.7,18,.,.,9.000000,7.000000,,1.2857142857142858,2,.,.,2.000000,0.000000,,,40,.,.,23.000000,13.000000,,1.7692307692307692
INDEL,I16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,ALL,*,QUAL,*,0.642857,0.9,0.0,0.75,0,2,11191358.000000,11191358.000000,0.000000,28,.,.,16.000000,7.000000,,2.2857142857142856,18,.,.,9.000000,7.000000,,1.2857142857142858,10,.,.,7.000000,0.000000,,,20,.,.,11.000000,7.000000,,1.5714285714285714,18,.,.,9.000000,7.000000,,1.2857142857142858,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,PASS,*,QUAL,*,0.642857,0.9,0.0,0.75,0,2,11191358.000000,11191358.000000,0.000000,28,.,.,16.000000,7.000000,,2.2857142857142856,18,.,.,9.000000,7.000000,,1.2857142857142858,10,.,.,7.000000,0.000000,,,20,.,.,11.000000,7.000000,,1.5714285714285714,18,.,.,9.000000,7.000000,,1.2857142857142858,2,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,ALL,*,QUAL,*,0.8994040000000001,0.9656549999999999,0.309813,0.9313530000000001,19,19,41689983,11191358.000000,0.000000,1342,.,.,690.000000,570.000000,,1.2105263157894737,1207,.,.,598.000000,556.000000,,1.0755395683453237,135,.,.,92.000000,14.000000,,6.571428571428571,1814,.,.,974.000000,802.000000,,1.2144638403990025,1209,.,.,626.000000,556.000000,,1.1258992805755397,43,.,.,20.000000,23.000000,,0.8695652173913043,562,.,.,328.000000,223.000000,,1.4708520179372198
INDEL,I1_5,*,PASS,*,QUAL,*,0.8994040000000001,0.9656549999999999,0.309813,0.9313530000000001,19,19,41689983,11191358.000000,0.000000,1342,.,.,690.000000,570.000000,,1.2105263157894737,1207,.,.,598.000000,556.000000,,1.0755395683453237,135,.,.,92.000000,14.000000,,6.571428571428571,1814,.,.,974.000000,802.000000,,1.2144638403990025,1209,.,.,626.000000,556.000000,,1.1258992805755397,43,.,.,20.000000,23.000000,,0.8695652173913043,562,.,.,328.000000,223.000000,,1.4708520179372198
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,41689983.000000,11191358.000000,0.000000,5,.,.,2.000000,3.000000,,0.6666666666666666,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,25,.,.,16.000000,8.000000,,2.0,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,20,.,.,14.000000,5.000000,,2.8
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,41689983.000000,11191358.000000,0.000000,5,.,.,2.000000,3.000000,,0.6666666666666666,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,25,.,.,16.000000,8.000000,,2.0,5,.,.,2.000000,3.000000,,0.6666666666666666,0,.,.,0.000000,0.000000,,,20,.,.,14.000000,5.000000,,2.8
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.899028,0.965517,0.0,0.9310870000000001,19,19,11191358.000000,11191358.000000,0.000000,1337,.,.,688.000000,567.000000,,1.2134038800705467,1202,.,.,596.000000,553.000000,,1.077757685352622,135,.,.,92.000000,14.000000,,6.571428571428571,1247,.,.,644.000000,576.000000,,1.1180555555555556,1204,.,.,624.000000,553.000000,,1.1283905967450272,43,.,.,20.000000,23.000000,,0.8695652173913043,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.899028,0.965517,0.0,0.9310870000000001,19,19,11191358.000000,11191358.000000,0.000000,1337,.,.,688.000000,567.000000,,1.2134038800705467,1202,.,.,596.000000,553.000000,,1.077757685352622,135,.,.,92.000000,14.000000,,6.571428571428571,1247,.,.,644.000000,576.000000,,1.1180555555555556,1204,.,.,624.000000,553.000000,,1.1283905967450272,43,.,.,20.000000,23.000000,,0.8695652173913043,0,.,.,0.000000,0.000000,,
INDEL,I6_15,*,ALL,*,QUAL,*,0.8,0.934579,0.483092,0.8620690000000001,0,7,41689983,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,100,.,.,50.000000,30.000000,,1.6666666666666667,25,.,.,11.000000,2.000000,,5.5,207,.,.,118.000000,63.000000,,1.873015873015873,100,.,.,57.000000,30.000000,,1.9,7,.,.,4.000000,3.000000,,1.3333333333333333,100,.,.,57.000000,30.000000,,1.9
INDEL,I6_15,*,PASS,*,QUAL,*,0.8,0.934579,0.483092,0.8620690000000001,0,7,41689983,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,100,.,.,50.000000,30.000000,,1.6666666666666667,25,.,.,11.000000,2.000000,,5.5,207,.,.,118.000000,63.000000,,1.873015873015873,100,.,.,57.000000,30.000000,,1.9,7,.,.,4.000000,3.000000,,1.3333333333333333,100,.,.,57.000000,30.000000,,1.9
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1,.,.,1.000000,0.000000,,
